LATDD83,LONGDD83,Month,Day,FIREYEAR,OWNERAGENCY,PROTECTIONAGENCY,PERIMEXISTS_N,PERIMEXISTS_Y,FIRERPTQC_no,FIRERPTQC_yes,STATCAUSE,TOTALACRES,sizeclass,cluster,cluster_label
35.1325,-111.7322,7,16,2004,12,12,True,False,True,False,6,0.1,A,0,High-Risk Large Fires
33.46864,-105.51542,3,30,1993,9,12,True,False,True,False,11,12.0,C,4,Urban Wildfires
34.23472,-117.42639,8,19,2000,9,9,True,False,True,False,8,0.1,A,4,High-Risk Large Fires
38.63333,-79.53333,5,18,2000,12,12,True,False,True,False,12,2.0,B,4,Frequent Small Fires
48.36774,-116.7898,8,11,2019,12,12,True,False,True,False,6,0.3,B,0,Remote Small Fires
40.78167,-122.33306,6,22,2008,12,12,True,False,True,False,6,2.0,B,0,Remote Small Fires
36.96,-120.04611,7,19,1993,9,9,True,False,True,False,12,0.1,A,4,Urban Wildfires
44.26388,-118.48879,7,13,2001,12,12,True,False,False,True,6,0.2,A,1,Remote Small Fires
37.94267,-119.15553,8,15,2023,12,12,True,False,False,True,9,0.1,A,1,Urban Wildfires
41.21667,-123.43333,6,24,1992,12,12,True,False,True,False,6,0.1,A,0,Remote Small Fires
40.02611,-123.48889,6,21,2008,9,9,True,False,True,False,6,1.0,B,0,Remote Small Fires
33.47508,-117.11686,9,13,2011,9,9,True,False,True,False,12,1.0,B,4,Urban Wildfires
46.91314,-121.03449,9,26,1989,9,12,True,False,True,False,6,0.1,A,0,Remote Small Fires
39.87496,-111.56735,7,2,2001,12,12,False,True,True,False,6,4378.0,F,2,High-Risk Large Fires
37.05,-121.57306,3,12,1993,9,9,True,False,True,False,4,0.5,B,0,High-Risk Large Fires
33.45227,-108.2482,7,20,2022,12,12,True,False,False,True,12,0.1,A,1,Urban Wildfires
37.25167,-113.40556,8,27,2014,12,12,True,False,False,True,6,0.1,A,1,High-Risk Large Fires
48.595,-114.72528,7,17,2004,12,12,True,False,True,False,6,1.5,B,0,Remote Small Fires
44.6125,-121.92,7,18,2017,12,12,True,False,False,True,6,0.5,B,1,Remote Small Fires
38.91298,-120.66947,7,6,2017,9,12,True,False,False,True,3,0.02,A,1,High-Risk Large Fires
34.18861,-117.76556,6,3,2009,12,12,True,False,True,False,6,1.0,B,0,High-Risk Large Fires
32.82306,-116.78,8,7,1995,9,9,True,False,True,False,8,0.5,B,4,High-Risk Large Fires
34.15167,-116.73417,7,13,1999,12,12,True,False,True,False,6,0.1,A,0,High-Risk Large Fires
45.92333,-117.87472,8,3,1999,12,12,True,False,False,True,6,1.0,B,1,Remote Small Fires
34.29174,-111.08239,10,22,1995,12,12,True,False,True,False,11,0.1,A,4,Urban Wildfires
35.27334,-111.62232,6,6,1994,12,12,True,False,True,False,1,1.5,B,0,High-Risk Large Fires
41.66861,-121.68111,7,2,2015,12,12,True,False,True,False,6,0.1,A,0,Remote Small Fires
48.52111,-114.42333,7,30,2014,12,12,True,False,True,False,6,0.25,A,0,Remote Small Fires
39.79389,-123.18111,7,26,1997,9,9,True,False,True,False,12,1.0,B,4,Urban Wildfires
35.46855,-120.37885,10,11,2012,9,9,True,False,True,False,12,1.0,B,4,Urban Wildfires
33.7325,-82.0525,7,11,2011,12,12,False,True,False,True,6,4.0,B,2,Frequent Small Fires
33.80635,-117.23438,7,16,2007,9,9,True,False,True,False,4,0.1,A,0,High-Risk Large Fires
34.53447,-111.01149,6,29,2004,12,12,True,False,True,False,6,0.1,A,0,High-Risk Large Fires
34.5333,-117.0842,1,16,1994,1,1,True,False,True,False,12,60.0,C,3,Urban Wildfires
32.97648,-105.88353,8,12,2005,12,12,True,False,True,False,6,0.1,A,0,High-Risk Large Fires
44.36867,-120.3814,9,2,2018,12,12,True,False,False,True,1,0.1,A,1,Remote Small Fires
34.80335,-111.3565,7,3,2001,12,12,True,False,True,False,6,0.2,A,0,High-Risk Large Fires
36.32194,-121.14306,5,18,1997,9,9,True,False,True,False,12,2283.0,F,4,Urban Wildfires
37.45361,-107.53917,8,15,2010,12,12,True,False,False,True,1,0.1,A,1,High-Risk Large Fires
33.63389,-117.16194,10,8,1994,9,9,True,False,True,False,12,0.5,B,4,Urban Wildfires
38.51889,-120.23444,9,18,1999,12,12,True,False,True,False,1,0.1,A,0,High-Risk Large Fires
33.73475,-117.39005,2,18,2004,4,4,True,False,True,False,12,0.1,A,3,Urban Wildfires
39.70329,-121.52958,2,9,2011,9,9,True,False,True,False,3,1.0,B,0,Remote Small Fires
45.07333,-111.985,10,30,1987,12,12,True,False,True,False,1,0.1,A,0,Remote Small Fires
33.91111,-116.79806,8,14,2005,9,9,True,False,True,False,0,0.3,B,0,High-Risk Large Fires
37.57194,-121.68806,6,25,1992,10,10,True,False,True,False,4,3.0,B,0,High-Risk Large Fires
36.23389,-118.23472,8,26,1999,12,12,True,False,True,False,6,0.1,A,0,High-Risk Large Fires
32.7334,-114.6175,9,22,1996,0,0,True,False,True,False,3,0.2,A,3,High-Risk Large Fires
43.94395,-119.19636,1,1,1988,12,12,False,True,False,True,6,0.1,A,2,Remote Small Fires
44.53027,-118.70299,7,25,2002,1,12,True,False,False,True,6,0.1,A,1,Remote Small Fires
34.57169,-111.4373,7,25,1996,12,12,True,False,True,False,6,7.0,B,0,High-Risk Large Fires
32.96528,-105.6083,4,16,2011,12,12,True,False,False,True,11,0.1,A,1,Urban Wildfires
38.20572,-120.76508,5,4,2015,9,9,True,False,True,False,4,0.14,A,0,High-Risk Large Fires
33.80639,-110.9022,7,20,2011,12,12,True,False,True,False,6,0.01,A,0,High-Risk Large Fires
38.92167,-117.77167,9,4,1993,12,12,True,False,True,False,6,0.2,A,0,High-Risk Large Fires
47.74786,-112.75781,9,18,2021,12,12,False,True,True,False,1,4.64,B,2,Remote Small Fires
41.125,-106.7083,8,13,2000,12,12,True,False,True,False,6,0.8,B,0,Remote Small Fires
39.46735,-121.13389,9,21,2017,12,12,True,False,False,True,6,0.1,A,1,Remote Small Fires
36.91722,-121.81444,7,6,2007,9,9,True,False,True,False,0,11.0,C,0,High-Risk Large Fires
34.70169,-111.4723,6,22,1998,12,12,True,False,True,False,8,0.5,B,0,High-Risk Large Fires
37.31,-120.38694,10,13,1996,9,9,True,False,True,False,11,0.1,A,4,Urban Wildfires
47.49642,-93.50249,3,30,2021,9,9,True,False,True,False,13,0.1,A,4,Frequent Small Fires
39.12922,-123.4758,8,1,2012,9,9,True,False,True,False,4,2.5,B,0,Remote Small Fires
33.9357,-118.0333,7,6,2011,9,9,True,False,True,False,12,0.3,B,4,Urban Wildfires
39.33833,-105.33833,5,18,1996,12,12,False,True,True,False,1,11875.0,G,2,High-Risk Large Fires
44.94333,-119.69861,7,31,1991,12,12,True,False,False,True,6,0.1,A,1,Remote Small Fires
33.75111,-116.29389,11,14,1992,9,9,True,False,True,False,0,0.5,B,0,High-Risk Large Fires
40.66833,-121.43417,8,22,2003,12,12,True,False,True,False,6,0.1,A,0,Remote Small Fires
47.67302,-114.8467,10,18,2022,12,12,True,False,False,True,0,0.2,A,1,Remote Small Fires
33.92912,-116.6883,4,28,2013,9,9,True,False,True,False,12,0.1,A,4,Urban Wildfires
44.33167,-119.71333,10,11,1989,12,12,True,False,False,True,1,0.1,A,1,Remote Small Fires
38.73611,-121.39253,7,4,2012,9,9,True,False,True,False,8,0.1,A,4,Urban Wildfires
43.73416,-118.90129,8,7,1999,12,12,True,False,False,True,6,0.2,A,1,Remote Small Fires
40.48611,-122.20611,7,3,2008,9,9,True,False,True,False,4,1.0,B,0,Remote Small Fires
34.03833,-109.2361,7,19,2007,12,12,True,False,True,False,6,0.1,A,0,High-Risk Large Fires
47.67861,-115.69028,1,1,2007,12,12,True,False,True,False,6,0.3,B,0,Remote Small Fires
36.46129,-112.29851,8,28,1987,12,12,True,False,True,False,6,0.1,A,0,High-Risk Large Fires
36.72258,-92.8544,3,17,2019,9,9,True,False,False,True,3,9.28,B,1,Frequent Small Fires
35.92829,-119.31289,8,9,2003,9,9,True,False,True,False,12,0.1,A,4,Urban Wildfires
37.79194,-108.69444,7,4,2006,12,12,True,False,False,True,6,0.1,A,1,High-Risk Large Fires
38.55,-119.78333,6,21,1988,12,12,True,False,True,False,6,0.1,A,0,High-Risk Large Fires
43.06,-122.45194,9,13,2009,12,12,True,False,True,False,6,0.5,B,0,Remote Small Fires
39.51611,-121.66111,10,2,2002,9,9,True,False,True,False,12,0.2,A,4,Urban Wildfires
38.79205,-121.03204,7,10,2011,9,9,True,False,True,False,12,4.0,B,4,Urban Wildfires
39.00167,-86.41833,7,17,1988,12,12,True,False,True,False,1,2.0,B,0,Frequent Small Fires
36.49389,-119.28694,5,28,2007,9,9,True,False,True,False,8,45.0,C,4,Urban Wildfires
33.66167,-116.89167,8,29,1998,4,4,True,False,True,False,6,6.0,B,3,High-Risk Large Fires
36.56806,-120.015,11,6,1997,9,9,True,False,True,False,12,30.0,C,4,Urban Wildfires
43.13167,-122.89972,8,17,2014,12,12,True,False,True,False,6,0.1,A,0,Remote Small Fires
48.92636,-118.22543,9,14,2000,12,12,True,False,True,False,6,0.5,B,0,Remote Small Fires
41.27889,-123.60306,7,2,2002,12,12,True,False,True,False,0,0.1,A,0,Remote Small Fires
40.54995,-111.76736,7,28,1994,12,12,True,False,True,False,1,0.2,A,0,High-Risk Large Fires
42.98361,-122.55028,8,2,2009,12,12,True,False,True,False,6,0.25,A,0,Remote Small Fires
43.96,-122.31333,7,24,1991,12,12,True,False,True,False,6,0.1,A,0,Remote Small Fires
35.0075,-112.0525,6,25,2017,12,12,True,False,False,True,6,0.5,B,1,High-Risk Large Fires
30.99556,-93.09444,7,3,2009,12,12,False,True,False,True,0,1.0,B,2,Frequent Small Fires
41.85048,-124.20687,6,6,2014,10,10,True,False,True,False,12,1.0,B,4,Urban Wildfires
37.66667,-90.86,4,1,1987,12,12,True,False,True,False,0,32.0,C,0,Frequent Small Fires
45.22988,-117.05462,7,28,1989,12,12,True,False,False,True,6,0.2,A,1,Remote Small Fires
37.46667,-91.18333,7,6,1991,12,12,True,False,True,False,0,2.0,B,0,Frequent Small Fires
43.68068,-121.07779,7,9,1993,12,12,True,False,True,False,4,1.0,B,0,Remote Small Fires
36.285,-118.79667,5,26,1992,9,9,True,False,True,False,0,0.2,A,0,High-Risk Large Fires
35.71837,-105.81725,7,30,1993,12,12,True,False,True,False,6,0.25,A,0,High-Risk Large Fires
